filepath,module,classification,severity_table_format,severity_table_rows,bst_schema,total,critical,major,medium,minor,trivial,closed,open,defer,withdrawn,status_unknown,severity_unknown,sev_sum_match,closed_open_match,sev_table_match_bst
output/qa-reports/round7-2026-05-06/bug-reports/dashboard/Pass-bug-report-r7-dashboard.md,dashboard,A,6-col,1,8-col-full,5,0,3,1,1,0,5,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/deploy-gap/Pass-bug-report-audit-deploy-gap.md,deploy-gap,A,6-col,3,8-col-full,0,0,0,0,0,0,0,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/doanh-nghiep/Pass-bug-report-audit-r7-0-6-fr-07-buttons.md,doanh-nghiep,A,6-col,1,8-col-full,0,0,0,0,0,0,0,0,0,0,0,0,True,True,False
output/qa-reports/round7-2026-05-06/bug-reports/doanh-nghiep/Pass-bug-report-deploy-mail-host.md,doanh-nghiep,A,6-col,1,8-col-full,2,0,2,0,0,0,2,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/doanh-nghiep/Pass-bug-report-r7-7-4-dn.md,doanh-nghiep,B,absent,0,8-col-full,7,0,6,0,1,0,6,0,0,1,0,0,True,False,
output/qa-reports/round7-2026-05-06/bug-reports/doanh-nghiep/Pass-bug-report-seed-r7-2-4-throttle.md,doanh-nghiep,A,6-col,1,8-col-full,2,0,1,1,0,0,2,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/hoi-dap/Pass-bug-report-flow-hoi-dap.md,hoi-dap,B,absent,0,4-col-simple,8,1,1,0,5,0,8,0,0,0,0,1,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/hoi-dap/Pass-bug-report-r7-3-1-tvn-hd-form-tvn-bridge.md,hoi-dap,B,absent,0,4-col-simple,1,0,1,0,0,0,1,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/hoi-dap/Pass-bug-report-r7-4-a4-hd-workflow-block.md,hoi-dap,A,6-col,1,8-col-full,3,1,2,0,0,0,3,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/hoi-dap/Pass-bug-report-r7-7-1-hd-014-reject-err-code-mismatch.md,hoi-dap,B,absent,0,unknown,1,0,0,0,1,0,1,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/hoi-dap/Pass-bug-report-r7-7-1-hd-022-sla-tier-mismatch.md,hoi-dap,B,absent,0,unknown,2,0,2,0,0,0,2,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/hoi-dap/Pass-bug-report-r7-7-1-hd-049-tc-org-ui-block.md,hoi-dap,X,absent,0,absent,0,0,0,0,0,0,0,0,0,0,0,0,,,
output/qa-reports/round7-2026-05-06/bug-reports/hoi-dap/Pass-bug-report-r7-7-1-hd-055-modal-publish-fail-ux.md,hoi-dap,B,absent,0,unknown,1,0,0,0,1,0,1,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/hoi-dap/Pass-bug-report-seed-r7-3-1-mob-mph.md,hoi-dap,B,absent,0,8-col-full,1,0,1,0,0,0,1,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/hop-dong-tv/Pass-bug-report-r7-3-14-hdtv.md,hop-dong-tv,A,6-col,1,8-col-full,3,0,3,0,0,0,3,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/hop-dong-tv/bug-report-r7-7-14-hdtv.md,hop-dong-tv,A,6-col,1,8-col-full,14,1,7,2,4,0,11,3,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/kho-qa/Pass-bug-report-flow-kho-qa.md,kho-qa,A,6-col,1,8-col-full,2,1,1,0,0,0,2,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/kho-qa/Pass-bug-report-r7-4-d3-auto-br-flow-10.md,kho-qa,A,6-col,1,8-col-full,1,0,1,0,0,0,1,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/nguoi-ho-tro/Pass-bug-report-r7-7-4-5-nht.md,nguoi-ho-tro,B,absent,0,8-col-full,5,0,3,0,2,0,5,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/qtht-cau-hinh-ht/Pass-bug-report-seed-r7-1-5-ngay-le.md,qtht-cau-hinh-ht,A,6-col,1,8-col-full,1,0,1,0,0,0,1,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/qtht-danh-muc/Pass-bug-report-seed-r7-1-1-dm-linh-vuc-pl.md,qtht-danh-muc,A,6-col,1,8-col-full,1,0,1,0,0,0,1,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/qtht-danh-muc/Pass-bug-report-seed-r7-1-2-loai-dn.md,qtht-danh-muc,A,6-col,1,8-col-full,1,0,1,0,0,0,1,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/qtht-danh-muc/Pass-bug-report-seed-r7-1-6-dm-cthttp.md,qtht-danh-muc,A,6-col,1,8-col-full,2,0,2,0,0,0,2,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/qtht-nhat-ky/Pass-bug-report-function-r7-7-8d-audit-log.md,qtht-nhat-ky,A,6-col,1,8-col-full,6,0,2,2,2,0,6,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/qtht-tai-khoan/Pass-bug-report-function-r7-7-8a-tk-sm.md,qtht-tai-khoan,A,6-col,1,8-col-full,1,0,1,0,0,0,1,0,0,0,0,0,True,True,False
output/qa-reports/round7-2026-05-06/bug-reports/qtht-tai-khoan/Pass-bug-report-function-r7-7-8b-self-reg-dn.md,qtht-tai-khoan,A,6-col,1,8-col-full,5,0,1,1,3,0,5,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/qtht-tai-khoan/Pass-bug-report-function-r7-7-8c-reset-mk.md,qtht-tai-khoan,A,6-col,1,8-col-full,3,2,0,0,1,0,3,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/qtht-tai-khoan/Pass-bug-report-mail-first-login-promise-not-enforced.md,qtht-tai-khoan,B,absent,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/qtht-tai-khoan/Pass-bug-report-r7-2-9b-logout-no-api-call.md,qtht-tai-khoan,A,6-col,1,8-col-full,1,0,1,0,0,0,1,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/qtht-tai-khoan/Pass-bug-report-r7-7-4-fr22-cho-phan-quyen-not-bypassed.md,qtht-tai-khoan,A,6-col,1,8-col-full,1,0,1,0,0,0,1,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/qtht-vai-tro/Pass-bug-report-function-r7-7-8e-vai-tro.md,qtht-vai-tro,A,6-col,1,8-col-full,6,1,2,1,2,0,6,0,0,0,0,0,True,True,False
output/qa-reports/round7-2026-05-06/bug-reports/system-be/Pass-bug-report-be-login-500-r7-7-1.md,system-be,A,6-col,1,8-col-full,1,1,0,0,0,0,1,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/to-chuc-tu-van/Pass-bug-report-r7-2-2-tctv-ui-seed.md,to-chuc-tu-van,B,absent,0,8-col-full,2,1,1,0,0,0,2,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/to-chuc-tu-van/Pass-bug-report-r7-7-4-6-tctv.md,to-chuc-tu-van,X,absent,0,absent,0,0,0,0,0,0,0,0,0,0,0,0,,,
output/qa-reports/round7-2026-05-06/bug-reports/to-chuc-tu-van/Pass-bug-report-seed-r7-2-2-tctv-lv-dropdown.md,to-chuc-tu-van,A,6-col,1,8-col-full,1,0,1,0,0,0,1,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/tu-van-chuyen-sau/Pass-bug-report-r7-4-a5-tvcs-cg-action-block.md,tu-van-chuyen-sau,A,6-col,1,8-col-full,4,2,2,0,0,0,4,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/tu-van-chuyen-sau/Pass-bug-report-r7-7-5-tvcs.md,tu-van-chuyen-sau,B,absent,0,8-col-full,10,1,6,1,2,0,10,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/tu-van-chuyen-sau/Pass-bug-report-seed-r7-3-3-tvcs-video-call.md,tu-van-chuyen-sau,A,6-col,1,8-col-full,1,0,1,0,0,0,1,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/tu-van-chuyen-sau/bug-report-r7-7-5-tvcs-r16.md,tu-van-chuyen-sau,A,6-col,1,8-col-full,9,0,8,1,0,0,4,5,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/tu-van-nhanh/Pass-bug-report-r7-6-2-tvn-create-block.md,tu-van-nhanh,C,unknown,3,8-col-full,2,0,2,0,0,0,2,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/tu-van-nhanh/bug-report-r7-7-11-tvn.md,tu-van-nhanh,C,6-col,1,8-col-full,6,0,1,0,4,0,4,1,1,0,0,1,True,False,False
output/qa-reports/round7-2026-05-06/bug-reports/tu-van-vien-cg/Pass-bug-report-flow-r7-4-a1-6-tvv-login-403.md,tu-van-vien-cg,A,6-col,1,8-col-full,1,0,1,0,0,0,1,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/tu-van-vien-cg/Pass-bug-report-flow-r7-4-a1-cg-state.md,tu-van-vien-cg,A,6-col,1,8-col-full,1,0,1,0,0,0,1,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/tu-van-vien-cg/Pass-bug-report-flow-r7-4-a1-tvv.md,tu-van-vien-cg,A,6-col,1,8-col-full,5,2,2,0,1,0,5,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/tu-van-vien-cg/Pass-bug-report-flow-r7-4-a2-nht-permission-gap.md,tu-van-vien-cg,A,6-col,1,8-col-full,3,0,3,0,0,0,3,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/tu-van-vien-cg/Pass-bug-report-functional-r7-7-2-tvv-retry.md,tu-van-vien-cg,C,unknown,1,8-col-full,7,0,5,0,2,0,7,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/tu-van-vien-cg/Pass-bug-report-functional-r7-7-2-tvv.md,tu-van-vien-cg,A,6-col,1,8-col-full,2,0,2,0,0,0,2,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/tu-van-vien-cg/Pass-bug-report-seed-r7-2-6-tvv-tochuc.md,tu-van-vien-cg,A,6-col,1,8-col-full,1,0,1,0,0,0,1,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/vu-viec/Pass-bug-report-r7-4-a3-public-phancong-cascade.md,vu-viec,C,unknown,1,8-col-full,2,1,1,0,0,0,2,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/vu-viec/Pass-bug-report-r7-4-a3-public-vv.md,vu-viec,B,absent,0,unknown,1,1,0,0,0,0,1,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/vu-viec/bug-report-flow-vu-viec.md,vu-viec,A,6-col,1,8-col-full,7,3,3,0,1,0,6,1,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/vu-viec/bug-report-r7-7-3-functional-vu-viec.md,vu-viec,A,6-col,3,8-col-full,10,3,6,0,1,0,8,2,0,0,0,0,True,True,
